shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_349_1,24.80887258043693,125.27825832366945,10001
shapes_349_1,24.809135525024082,125.27827978134157,10002
shapes_349_1,24.809388730395586,125.27822613716127,10003
shapes_349_1,24.809651673887736,125.27809739112855,10004
shapes_349_1,24.811219584612306,125.27617692947389,10005
shapes_349_1,24.811453308735835,125.27531862258913,10006
shapes_349_1,24.81153121667906,125.27467489242555,10007
shapes_349_1,24.811472785726217,125.27413845062257,10008
shapes_349_1,24.811375400743632,125.27323722839357,10009
shapes_349_1,24.81141435474584,125.27244329452516,10010
shapes_349_1,24.812076570910328,125.27021169662477,10011
shapes_349_1,24.812368723975624,125.26963233947755,10012
shapes_349_1,24.8138879088128,125.2680015563965,10013
shapes_349_1,24.81437482308865,125.26750802993776,10014
shapes_349_1,24.814686447221142,125.26639223098756,10015
shapes_349_1,24.814666970735807,125.26566267013551,10016
shapes_349_1,24.81460854126149,125.26495456695558,10017
shapes_349_1,24.814394299619885,125.26392459869386,10018
shapes_349_1,24.799824999147894,125.23178100585939,10019
shapes_349_1,24.772941316126513,125.19830703735353,10020
shapes_349_1,24.726173219071793,125.14217376708986,10021
shapes_349_1,24.714946258027744,125.12852668762208,10022
shapes_349_1,24.679699498560034,125.07402420043945,10023
shapes_349_1,24.648265332632818,124.99557495117189,10024
shapes_349_1,24.635783071238762,124.89944458007814,10025
shapes_349_1,24.631882108759406,124.74675178527833,10026
shapes_349_1,24.631804088267597,124.74185943603517,10027
shapes_349_1,24.632194190239527,124.736967086792,10028
shapes_349_1,24.634300719843413,124.73336219787599,10029
shapes_349_1,24.637031353509528,124.7307872772217,10030
shapes_349_1,24.64288251038813,124.72701072692873,10031
shapes_349_1,24.64328232943704,124.7267532348633,10032
shapes_349_1,24.643789415170183,124.72627043724061,10033
shapes_349_1,24.644179479717774,124.72535848617555,10034
shapes_349_1,24.644169728118953,124.72408175468446,10035
shapes_349_1,24.64421848610555,124.72259044647218,10036
shapes_349_1,24.644501282052435,124.72173213958742,10037
shapes_349_1,24.644472027328998,124.72110986709596,10038
shapes_349_1,24.644559791478724,124.72100257873537,10039
shapes_350_1,24.644527,124.720982,20001
shapes_350_1,24.644472027328998,124.72117424011232,20002
shapes_350_1,24.644501282052435,124.72175359725954,20003
shapes_350_1,24.644189231315856,124.72274065017702,20004
shapes_350_1,24.64415022491897,124.72411394119264,20005
shapes_350_1,24.644169728118953,124.72540140151978,20006
shapes_350_1,24.643877179799613,124.7261953353882,20007
shapes_350_1,24.643428604379036,124.72666740417482,20008
shapes_350_1,24.642804496765937,124.7270965576172,20009
shapes_350_1,24.637499456145537,124.73040103912355,20010
shapes_350_1,24.63348151810627,124.73473548889162,20011
shapes_350_1,24.632467260895258,124.73675251007081,20012
shapes_350_1,24.63168705743855,124.74258899688722,20013
shapes_350_1,24.636095142975726,124.90425109863283,20014
shapes_350_1,24.648577373183986,124.99557495117189,20015
shapes_350_1,24.679777489120763,125.07385253906251,20016
shapes_350_1,24.715024226527024,125.12878417968751,20017
shapes_350_1,24.72219711953354,125.13771057128908,20018
shapes_350_1,24.787981311712517,125.21736145019533,20019
shapes_350_1,24.800136659859948,125.2328109741211,20020
shapes_350_1,24.804266090340306,125.24122238159181,20021
shapes_350_1,24.814238487284257,125.26379585266115,20022
shapes_350_1,24.814589064763915,125.26495456695558,20023
shapes_350_1,24.814686447221142,125.26624202728273,20024
shapes_350_1,24.81435534655436,125.26752948760988,20025
shapes_350_1,24.812505061837072,125.2695679664612,20026
shapes_350_1,24.812173955341937,125.27016878128053,20027
shapes_350_1,24.811959709491365,125.27069449424745,20028
shapes_350_1,24.811823371029963,125.27132749557497,20029
shapes_350_1,24.81166755546185,125.27295827865602,20030
shapes_350_1,24.81168703241857,125.27448177337648,20031
shapes_350_1,24.811589647604322,125.27521133422853,20032
shapes_350_1,24.811297492702472,125.27597308158876,20033
shapes_350_1,24.809340037095083,125.27823686599733,20034
shapes_350_1,24.809072223600378,125.27831733226778,20035
shapes_350_1,24.80881901758228,125.27829587459566,20036
