trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
f7d87a69434de9f8bf1af5c811df065c,09:00:00,09:00:00,S4452,1,,0,0
f7d87a69434de9f8bf1af5c811df065c,11:05:00,11:05:00,S5074,2,,0,0
bae8665d8398666a50aaa1d88f3fcac8,09:00:00,09:00:00,S4452,1,,0,0
bae8665d8398666a50aaa1d88f3fcac8,11:05:00,11:05:00,S5074,2,,0,0
d0d3175bd0e2e8b1a1fc314535d2420a,14:00:00,14:00:00,S5074,1,,0,0
d0d3175bd0e2e8b1a1fc314535d2420a,16:05:00,16:05:00,S4452,2,,0,0
5b2ea1889600f6d22926a6c564f3e0ac,08:00:00,08:00:00,S5074,1,,0,0
5b2ea1889600f6d22926a6c564f3e0ac,10:05:00,10:05:00,S4452,2,,0,0
