fare_id,route_id,origin_id,destination_id
2488,86,S2662,S2663
2489,87,S2663,S2662
2490,88,S2662,S2659
2491,89,S2659,S2662
2492,90,S2662,S2660
2493,91,S2660,S2662
2494,92,S2662,S2661
2495,93,S2661,S2662
2526,94,S2661,S2662
2527,94,S2663,S2662
2528,94,S2661,S2663
2496,95,S2662,S2664
2529,96,S2662,S2664
2532,96,S2665,S2664
2533,96,S2662,S2665
2497,97,S2664,S2662
2530,98,S2664,S2662
2531,98,S2664,S2665
2534,98,S2665,S2662
