stop_name_x,stop_lat_x,stop_lon_x,stop_name_y,stop_lat_y,stop_lon_y,trip_id,arrival_time,departure_time,stop_sequence
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,2d1338d8d223c14e86449159849afbb5,09:30:00,09:30:00,1
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,2d1338d8d223c14e86449159849afbb5,09:40:00,09:40:00,2
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,7e81459cb27b9dda46cc30e886ecc874,09:30:00,09:30:00,1
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,7e81459cb27b9dda46cc30e886ecc874,09:40:00,09:40:00,2
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,413ef6ad76dda21b1efdec31f8f80e11,11:30:00,11:30:00,1
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,413ef6ad76dda21b1efdec31f8f80e11,11:40:00,11:40:00,2
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,287a3b3e3d6ed51e7ffdc93d7ec8ef1d,11:30:00,11:30:00,1
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,287a3b3e3d6ed51e7ffdc93d7ec8ef1d,11:40:00,11:40:00,2
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,27a9102510f6b99a972a90f4f1f6f88b,14:00:00,14:00:00,1
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,27a9102510f6b99a972a90f4f1f6f88b,14:10:00,14:10:00,2
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,42f0c81c04cc2fcefe43e7779367f603,14:00:00,14:00:00,1
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,42f0c81c04cc2fcefe43e7779367f603,14:10:00,14:10:00,2
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,cfb99b8aa225621c3dbb21282f353631,15:00:00,15:00:00,1
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,cfb99b8aa225621c3dbb21282f353631,15:10:00,15:10:00,2
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,a553f671d3d2600f0abfba546da26183,15:00:00,15:00:00,1
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,a553f671d3d2600f0abfba546da26183,15:10:00,15:10:00,2
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,8d76eef0932fcaca940ccc71c617c9a5,16:30:00,16:30:00,1
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,8d76eef0932fcaca940ccc71c617c9a5,16:40:00,16:40:00,2
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,30dadd82415d3012c0cf1d603609a76a,16:30:00,16:30:00,1
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,30dadd82415d3012c0cf1d603609a76a,16:40:00,16:40:00,2
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,890b5e5978230daa070d4814026f8b6f,17:30:00,17:30:00,1
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,890b5e5978230daa070d4814026f8b6f,17:40:00,17:40:00,2
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,c1a12098fb4a4f4ee62e0120281f5a7d,17:30:00,17:30:00,1
石垣港,24.337048,124.155507,竹富港,24.336060999999997,124.09340900000001,c1a12098fb4a4f4ee62e0120281f5a7d,17:40:00,17:40:00,2
大原港,24.272044,123.88363799999999,竹富港,24.336060999999997,124.09340900000001,fc46e5e27518c5d802477ba2e5a8d385,14:30:00,14:30:00,1
大原港,24.272044,123.88363799999999,竹富港,24.336060999999997,124.09340900000001,fc46e5e27518c5d802477ba2e5a8d385,15:10:00,15:20:00,2
大原港,24.272044,123.88363799999999,竹富港,24.336060999999997,124.09340900000001,fc46e5e27518c5d802477ba2e5a8d385,15:30:00,15:30:00,3
竹富港,24.336060999999997,124.09340900000001,石垣港,24.337048,124.155507,fc46e5e27518c5d802477ba2e5a8d385,14:30:00,14:30:00,1
竹富港,24.336060999999997,124.09340900000001,石垣港,24.337048,124.155507,fc46e5e27518c5d802477ba2e5a8d385,15:10:00,15:20:00,2
竹富港,24.336060999999997,124.09340900000001,石垣港,24.337048,124.155507,fc46e5e27518c5d802477ba2e5a8d385,15:30:00,15:30:00,3
大原港,24.272044,123.88363799999999,石垣港,24.337048,124.155507,fc46e5e27518c5d802477ba2e5a8d385,14:30:00,14:30:00,1
大原港,24.272044,123.88363799999999,石垣港,24.337048,124.155507,fc46e5e27518c5d802477ba2e5a8d385,15:10:00,15:20:00,2
大原港,24.272044,123.88363799999999,石垣港,24.337048,124.155507,fc46e5e27518c5d802477ba2e5a8d385,15:30:00,15:30:00,3
石垣港,24.337048,124.155507,小浜港,24.344438,123.99157,a363f051da5a3a8707c55a205cfc8520,07:10:00,07:10:00,1
石垣港,24.337048,124.155507,小浜港,24.344438,123.99157,a363f051da5a3a8707c55a205cfc8520,07:35:00,07:35:00,2
石垣港,24.337048,124.155507,小浜港,24.344438,123.99157,f12fdafc93e783287a01800a3cfadbc8,08:15:00,08:15:00,1
石垣港,24.337048,124.155507,小浜港,24.344438,123.99157,f12fdafc93e783287a01800a3cfadbc8,08:40:00,08:40:00,2
石垣港,24.337048,124.155507,小浜港,24.344438,123.99157,ae7d6ca41d45e746f03e8d898c87e8aa,10:30:00,10:30:00,1
石垣港,24.337048,124.155507,小浜港,24.344438,123.99157,ae7d6ca41d45e746f03e8d898c87e8aa,10:55:00,10:55:00,2
石垣港,24.337048,124.155507,小浜港,24.344438,123.99157,80bc92cfefc73bd3f263da5bad70faf5,12:50:00,12:50:00,1
石垣港,24.337048,124.155507,小浜港,24.344438,123.99157,80bc92cfefc73bd3f263da5bad70faf5,13:15:00,13:15:00,2
石垣港,24.337048,124.155507,小浜港,24.344438,123.99157,033b1982bedc752720fa47a8eda9f757,15:00:00,15:00:00,1
石垣港,24.337048,124.155507,小浜港,24.344438,123.99157,033b1982bedc752720fa47a8eda9f757,15:25:00,15:25:00,2
石垣港,24.337048,124.155507,小浜港,24.344438,123.99157,9042916f0c649c911bbb05e07bde58ca,17:15:00,17:15:00,1
石垣港,24.337048,124.155507,小浜港,24.344438,123.99157,9042916f0c649c911bbb05e07bde58ca,17:40:00,17:40:00,2
石垣港,24.337048,124.155507,小浜港,24.344438,123.99157,f1404fa4a1b08b37288b06556f822aa5,17:30:00,17:30:00,1
石垣港,24.337048,124.155507,小浜港,24.344438,123.99157,f1404fa4a1b08b37288b06556f822aa5,17:55:00,17:55:00,2
石垣港,24.337048,124.155507,黒島港,24.253391,124.00155900000001,a250811f3eec7969d8c5164ac65cec0d,08:00:00,08:00:00,1
石垣港,24.337048,124.155507,黒島港,24.253391,124.00155900000001,a250811f3eec7969d8c5164ac65cec0d,08:25:00,08:25:00,2
石垣港,24.337048,124.155507,黒島港,24.253391,124.00155900000001,1d84856f2d76ccdf4ef33d2cae158dbc,13:00:00,13:00:00,1
石垣港,24.337048,124.155507,黒島港,24.253391,124.00155900000001,1d84856f2d76ccdf4ef33d2cae158dbc,13:25:00,13:25:00,2
石垣港,24.337048,124.155507,黒島港,24.253391,124.00155900000001,a62fe30c7bb6f11fac9336c97aadfab4,15:20:00,15:20:00,1
石垣港,24.337048,124.155507,黒島港,24.253391,124.00155900000001,a62fe30c7bb6f11fac9336c97aadfab4,15:45:00,15:45:00,2
石垣港,24.337048,124.155507,大原港,24.272044,123.88363799999999,922a40f8153a7787010bb0112bd3b588,07:10:00,07:10:00,1
石垣港,24.337048,124.155507,大原港,24.272044,123.88363799999999,922a40f8153a7787010bb0112bd3b588,07:50:00,07:50:00,2
石垣港,24.337048,124.155507,大原港,24.272044,123.88363799999999,a557a124de369e1e6580818f1585d308,08:00:00,08:00:00,1
石垣港,24.337048,124.155507,大原港,24.272044,123.88363799999999,a557a124de369e1e6580818f1585d308,08:40:00,08:40:00,2
石垣港,24.337048,124.155507,大原港,24.272044,123.88363799999999,dc79ea4569d932b26f4861ee0eb780dc,08:40:00,08:40:00,1
石垣港,24.337048,124.155507,大原港,24.272044,123.88363799999999,dc79ea4569d932b26f4861ee0eb780dc,09:20:00,09:20:00,2
石垣港,24.337048,124.155507,大原港,24.272044,123.88363799999999,bf6620d7e19133964401b52121a25796,12:00:00,12:00:00,1
石垣港,24.337048,124.155507,大原港,24.272044,123.88363799999999,bf6620d7e19133964401b52121a25796,12:40:00,12:40:00,2
石垣港,24.337048,124.155507,大原港,24.272044,123.88363799999999,fc59be9bbf14c5fe3d845747b707c67e,14:40:00,14:40:00,1
石垣港,24.337048,124.155507,大原港,24.272044,123.88363799999999,fc59be9bbf14c5fe3d845747b707c67e,15:20:00,15:20:00,2
石垣港,24.337048,124.155507,大原港,24.272044,123.88363799999999,db0999e213c30e32390e3d5c33d71ad1,16:40:00,16:40:00,1
石垣港,24.337048,124.155507,大原港,24.272044,123.88363799999999,db0999e213c30e32390e3d5c33d71ad1,17:20:00,17:20:00,2
石垣港,24.337048,124.155507,上原港,24.418119,123.799954,a526d0a3e40b9d96927be9610743af4d,09:30:00,09:30:00,1
石垣港,24.337048,124.155507,上原港,24.418119,123.799954,a526d0a3e40b9d96927be9610743af4d,10:10:00,10:10:00,2
石垣港,24.337048,124.155507,上原港,24.418119,123.799954,b1a8a3276f933239dd9acf1525abd833,15:30:00,15:30:00,1
石垣港,24.337048,124.155507,上原港,24.418119,123.799954,b1a8a3276f933239dd9acf1525abd833,16:10:00,16:15:00,2
石垣港,24.337048,124.155507,上原港,24.418119,123.799954,b1a8a3276f933239dd9acf1525abd833,16:25:00,16:25:00,3
鳩間港,24.467912,123.82051000000001,上原港,24.418119,123.799954,b1a8a3276f933239dd9acf1525abd833,15:30:00,15:30:00,1
鳩間港,24.467912,123.82051000000001,上原港,24.418119,123.799954,b1a8a3276f933239dd9acf1525abd833,16:10:00,16:15:00,2
鳩間港,24.467912,123.82051000000001,上原港,24.418119,123.799954,b1a8a3276f933239dd9acf1525abd833,16:25:00,16:25:00,3
石垣港,24.337048,124.155507,鳩間港,24.467912,123.82051000000001,b1a8a3276f933239dd9acf1525abd833,15:30:00,15:30:00,1
石垣港,24.337048,124.155507,鳩間港,24.467912,123.82051000000001,b1a8a3276f933239dd9acf1525abd833,16:10:00,16:15:00,2
石垣港,24.337048,124.155507,鳩間港,24.467912,123.82051000000001,b1a8a3276f933239dd9acf1525abd833,16:25:00,16:25:00,3
上原港,24.418119,123.799954,鳩間港,24.467912,123.82051000000001,3bc7c436db903becd09676fda8e37589,10:30:00,10:30:00,1
上原港,24.418119,123.799954,鳩間港,24.467912,123.82051000000001,3bc7c436db903becd09676fda8e37589,10:40:00,10:45:00,2
上原港,24.418119,123.799954,鳩間港,24.467912,123.82051000000001,3bc7c436db903becd09676fda8e37589,11:25:00,11:25:00,3
鳩間港,24.467912,123.82051000000001,石垣港,24.337048,124.155507,3bc7c436db903becd09676fda8e37589,10:30:00,10:30:00,1
