shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3798400,123.7819300,27,3731.2590308
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3789300,123.7835200,28,3921.4687560
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3789700,123.7847100,29,4042.2774342
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3783900,123.7855500,30,4148.9991541
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3765200,123.7866000,31,4381.9148643
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3752900,123.7876600,32,4555.4841005
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3741400,123.7887500,33,4724.1685896
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3732600,123.7892500,34,4834.0508545
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3718700,123.7895100,35,4990.2557367
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3702600,123.7893300,36,5169.5178206
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3684500,123.7892400,37,5370.2077519
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3672600,123.7891800,38,5502.1568957
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3655300,123.7905800,39,5740.6851352
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3635200,123.7931500,40,6083.5583939
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3635400,123.7938600,41,6155.6318184
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3636300,123.7941300,42,6184.7844267
